date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:46	35347/35347	---MCZ	404	error ('Not%20Found')	text/html	etag:%221d330-Phmw4auzsoxrtmfE1m1sVkn1Qc4%22	https://web-staging.artonline.gallery/robots.txt		(from )
11:58:47	145893/145893	---MCZ	200	added ('OK')	text/html	etag:%22239e5-bkQt6MLdWvJKfGwhzhJ+rXwZqPs%22	https://web-staging.artonline.gallery/	C:/My%20Web%20Sites/Artmo/web-staging.artonline.gallery/index.html	(from )
11:58:47	61510/61510	---M--	200	added ('OK')	image/png	etag:W/%22f046-1845d5e0a78%22	https://web-staging.artonline.gallery/assets/mo-fallback-image.png	C:/My%20Web%20Sites/Artmo/web-staging.artonline.gallery/assets/mo-fallback-image.png	(from https://web-staging.artonline.gallery/)
11:58:47	109827/109827	---MC-	200	added ('OK')	application/javascript	date:Thu,%2010%20Nov%202022%2009:00:00%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-PGRZ2BV	C:/My%20Web%20Sites/Artmo/www.googleoptimize.com/optimize96b2.js	(from https://web-staging.artonline.gallery/)
11:58:49	38827/38827	---M-Z	200	added ('OK')	application/javascript	etag:%2280a8697a8a2d81:0%22	http://bat.bing.com/bat.js	C:/My%20Web%20Sites/Artmo/bat.bing.com/bat.js	(from https://web-staging.artonline.gallery/)
11:58:49	147532/147532	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2010%20Nov%202022%2011:58:48%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/My%20Web%20Sites/Artmo/analytics.tiktok.com/i18n/pixel/events.js	(from https://web-staging.artonline.gallery/)
11:58:49	1146/1146	---M-Z	200	added ('OK')	application/javascript	etag:%22f9c79b23daa8ae207e3bc134a0eae5da%22	https://s.pinimg.com/ct/core.js	C:/My%20Web%20Sites/Artmo/s.pinimg.com/ct/core.js	(from https://web-staging.artonline.gallery/)
11:58:51	57596/57596	---M-Z	200	added ('OK')	application/javascript	etag:%2232ad004436155ec972bc50e6238b5b67+gzip+gzip%22	http://static.ads-twitter.com/uwt.js	C:/My%20Web%20Sites/Artmo/static.ads-twitter.com/uwt.js	(from https://web-staging.artonline.gallery/)
11:58:51	53487/53487	---MCZ	200	added ('OK')	text/css	etag:W/%22d0ef-1845d611f88%22	https://web-staging.artonline.gallery/_next/static/css/f8b20849746e7b828e60.css	C:/My%20Web%20Sites/Artmo/web-staging.artonline.gallery/_next/static/css/f8b20849746e7b828e60.css	(from https://web-staging.artonline.gallery/)
11:58:51	2614/2614	---MCZ	200	added ('OK')	text/css	etag:W/%22a36-1845d611f88%22	https://web-staging.artonline.gallery/_next/static/css/a732b27c60b5c9432e39.css	C:/My%20Web%20Sites/Artmo/web-staging.artonline.gallery/_next/static/css/a732b27c60b5c9432e39.css	(from https://web-staging.artonline.gallery/)
11:58:51	92022/92022	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216776-1845d611f88%22	https://web-staging.artonline.gallery/_next/static/chunks/polyfills-b69b38e0e606287ba003.js	C:/My%20Web%20Sites/Artmo/web-staging.artonline.gallery/_next/static/chunks/polyfills-b69b38e0e606287ba003.js	(from https://web-staging.artonline.gallery/)
11:58:51	6132/6132	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217f4-1845d611f88%22	https://web-staging.artonline.gallery/_next/static/chunks/webpack-060b2871ef7c2fa7368c.js	C:/My%20Web%20Sites/Artmo/web-staging.artonline.gallery/_next/static/chunks/webpack-060b2871ef7c2fa7368c.js	(from https://web-staging.artonline.gallery/)
11:58:52	131679/131679	---MCZ	200	added ('OK')	application/javascript	etag:W/%222025f-1845d611f88%22	https://web-staging.artonline.gallery/_next/static/chunks/framework-336caa3f6419768205fe.js	C:/My%20Web%20Sites/Artmo/web-staging.artonline.gallery/_next/static/chunks/framework-336caa3f6419768205fe.js	(from https://web-staging.artonline.gallery/)
11:58:52	79228/79228	---MCZ	200	added ('OK')	application/javascript	etag:W/%221357c-1845d611f88%22	https://web-staging.artonline.gallery/_next/static/chunks/main-bba2e097dca7d663a0e8.js	C:/My%20Web%20Sites/Artmo/web-staging.artonline.gallery/_next/static/chunks/main-bba2e097dca7d663a0e8.js	(from https://web-staging.artonline.gallery/)
11:58:52	24269/24269	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ecd-1845d611f88%22	https://web-staging.artonline.gallery/_next/static/chunks/5685-bc8848f5b99c51e763fe.js	C:/My%20Web%20Sites/Artmo/web-staging.artonline.gallery/_next/static/chunks/5685-bc8848f5b99c51e763fe.js	(from https://web-staging.artonline.gallery/)
11:58:52	2096963/2096963	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fff43-1845d611f88%22	https://web-staging.artonline.gallery/_next/static/chunks/pages/_app-f445ea35a9e6f68c1430.js	C:/My%20Web%20Sites/Artmo/web-staging.artonline.gallery/_next/static/chunks/pages/_app-f445ea35a9e6f68c1430.js	(from https://web-staging.artonline.gallery/)
